Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
34,112,123,139,162,253,256,162,225,238,256,268,143,139
268,329,339,356,372,438,441,372,406,421,441,455,356,356
455,533,545,562,578,648,650,578,619,632,650,664,562,562
664,712,723,743,759,860,857,759,823,837,857,882,742,743
882,941,952,971,986,1065,1066,986,1036,1049,1066,1080,970,971
1080,1121,1132,1151,1167,1235,1237,1167,1207,1220,1237,1249,1150,1151
1249,1283,1294,1312,1331,1409,1409,1331,1379,1392,1409,1425,1313,1312
1425,1477,1487,1506,1522,1593,1594,1522,1563,1577,1594,1608,1505,1506
1608,1646,1657,1676,1691,1755,1758,1691,1726,1739,1758,1770,1675,1676
1770,1808,1819,1838,1853,1915,1917,1853,1886,1899,1917,1930,1837,1838
1930,1964,1976,1997,2012,2097,2099,2012,2066,2079,2099,2114,1995,1997
2114,2159,2170,2188,2203,2291,2294,2203,2263,2275,2294,2307,2187,2188
2307,2354,2365,2382,2399,2487,2487,2399,2452,2466,2487,2507,2383,2382
2507,2587,2597,2614,2631,2707,2708,2631,2679,2691,2708,2722,2615,2614
2722,2771,2783,2804,2820,2905,2904,2820,2877,2890,2904,2920,2802,2804
2920,2966,2976,2994,3008,3082,3084,3008,3055,3069,3084,3094,2993,2994
3094,3133,3143,3162,3179,3257,3259,3179,3229,3242,3259,3272,3162,3162
3272,3306,3318,3336,3351,3432,3434,3351,3403,3415,3434,3448,3335,3336
3448,3496,3507,3525,3540,3615,3615,3540,3586,3599,3615,3630,3524,3525
3630,3676,3688,3706,3728,3822,3825,3728,3794,3807,3825,3836,3709,3706
3836,3879,3889,3907,3923,4020,4022,3923,3991,4003,4022,4037,3907,3907
4037,4079,4091,4109,4124,4194,4197,4124,4164,4177,4197,4211,4108,4109
4211,4248,4260,4278,4293,4368,4370,4293,4341,4353,4370,4383,4277,4278
4383,4418,4428,4443,4458,4530,4531,4458,4504,4517,4531,4542,4444,4443
4542,4576,4588,4602,4621,4701,4703,4621,4671,4684,4703,4717,4605,4602
4717,4760,4771,4790,4804,4888,4891,4804,4859,4872,4891,4904,4788,4790
