R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
11.5,9.73,15.93,10.62,7.96,32.74,11.5,77.86,22.12,0.54,1.13,37.16,62.82,19.51,9.76,16.26,10.57,10.57,23.58,9.76,79.68,20.33,0.69,1.23,45.53,54.48
6.8,8.74,22.33,8.74,8.74,33.01,11.65,79.62,20.39,0.48,1.03,37.87,62.14,8.41,13.08,21.5,12.15,6.54,29.91,8.41,79.44,20.56,0.59,1.07,42.99,57.01
5.94,8.91,22.77,9.9,7.92,31.68,12.87,77.22,22.77,0.48,1.01,37.62,62.37,8.74,13.59,19.42,11.65,5.83,31.07,9.71,78.65,21.36,0.55,1.03,41.75,58.26
6.19,10.31,21.65,9.28,7.22,32.99,12.37,78.36,21.65,0.46,0.97,38.15,61.86,8.08,13.13,19.19,13.13,6.06,31.31,9.09,77.77,22.22,0.53,0.99,40.4,59.59
7.92,10.89,20.79,8.91,4.95,33.66,12.87,78.21,21.78,0.49,1.01,39.6,60.39,7.0,13.0,19.0,12.0,8.0,32.0,9.0,79.0,21.0,0.51,1.0,39.0,61.0
4.04,9.09,20.2,11.11,8.08,35.35,12.12,76.76,23.23,0.44,0.99,33.33,66.66,5.21,14.58,20.83,13.54,4.17,30.21,11.46,75.0,25.0,0.52,0.96,40.62,59.38
9.0,9.0,17.0,10.0,7.0,35.0,13.0,77.0,23.0,0.45,1.0,35.0,65.0,8.0,14.0,21.0,12.0,9.0,26.0,10.0,78.0,22.0,0.55,1.0,43.0,57.0
5.1,9.18,21.43,9.18,9.18,32.65,13.27,77.54,22.45,0.44,0.98,35.71,64.28,7.07,13.13,22.22,13.13,5.05,30.3,9.09,77.77,22.22,0.55,0.99,42.42,57.57
7.29,8.33,23.96,8.33,6.25,31.25,14.58,77.08,22.91,0.46,0.96,39.58,60.41,9.0,13.0,19.0,13.0,7.0,31.0,8.0,79.0,21.0,0.54,1.0,41.0,59.0
7.22,10.31,19.59,8.25,8.25,32.99,13.4,78.36,21.65,0.44,0.97,37.12,62.89,6.38,13.83,18.09,14.89,7.45,30.85,8.51,76.6,23.4,0.5,0.94,38.3,61.7
6.06,9.09,22.22,9.09,8.08,33.33,12.12,78.78,21.21,0.46,0.99,37.37,62.62,8.08,12.12,20.2,13.13,6.06,31.31,9.09,77.77,22.22,0.53,0.99,40.4,59.59
6.12,10.2,21.43,10.2,7.14,32.65,12.24,77.54,22.44,0.47,0.98,37.75,62.23,8.0,14.0,19.0,12.0,6.0,31.0,10.0,78.0,22.0,0.53,1.0,41.0,59.0
7.29,11.46,21.88,9.38,6.25,31.25,12.5,78.13,21.88,0.48,0.96,40.63,59.38,7.07,13.13,19.19,12.12,7.07,32.32,9.09,78.78,21.21,0.51,0.99,39.39,60.6
5.1,10.2,21.43,9.18,7.14,32.65,14.29,76.52,23.47,0.45,0.98,36.73,63.26,6.45,12.9,19.35,12.9,5.38,33.33,9.68,77.41,22.58,0.48,0.93,38.7,61.29
5.94,9.9,21.78,9.9,8.91,30.69,12.87,77.22,22.77,0.48,1.01,37.62,62.37,6.93,12.87,18.81,13.86,5.94,31.68,9.9,76.23,23.76,0.53,1.01,38.61,61.38
5.0,11.0,21.0,10.0,8.0,32.0,13.0,77.0,23.0,0.47,1.0,37.0,63.0,9.0,13.0,18.0,13.0,5.0,32.0,10.0,77.0,23.0,0.53,1.0,40.0,60.0
6.86,9.8,19.61,11.76,8.82,30.39,12.75,75.48,24.51,0.49,1.02,36.27,63.72,7.84,13.73,17.65,12.75,6.86,29.41,11.76,75.49,24.51,0.53,1.02,39.22,60.78
6.06,10.1,22.22,9.09,7.07,32.32,13.13,77.77,22.22,0.47,0.99,38.38,61.61,9.0,13.0,18.0,13.0,6.0,32.0,9.0,78.0,22.0,0.53,1.0,40.0,60.0
6.93,11.88,18.81,9.9,6.93,32.67,12.87,77.22,22.77,0.48,1.01,37.62,62.37,7.0,13.0,19.0,13.0,7.0,31.0,10.0,77.0,23.0,0.52,1.0,39.0,61.0
7.07,9.09,22.22,9.09,6.06,33.33,13.13,77.77,22.22,0.47,0.99,38.38,61.61,7.0,14.0,19.0,13.0,7.0,31.0,9.0,78.0,22.0,0.53,1.0,40.0,60.0
7.07,11.11,21.21,10.1,6.06,31.31,13.13,76.76,23.23,0.49,0.99,39.39,60.6,5.94,13.86,18.81,12.87,6.93,31.68,9.9,77.22,22.77,0.52,1.01,38.61,61.38
6.93,9.9,18.81,10.89,7.92,32.67,12.87,76.23,23.76,0.47,1.01,35.64,64.35,6.19,14.43,17.53,13.4,7.22,29.9,11.34,75.27,24.74,0.5,0.97,38.15,61.86
6.0,10.0,20.0,11.0,8.0,32.0,13.0,76.0,24.0,0.47,1.0,36.0,64.0,7.92,12.87,19.8,12.87,5.94,29.7,10.89,76.23,23.76,0.54,1.01,40.59,59.4
5.0,11.0,20.0,11.0,9.0,32.0,12.0,77.0,23.0,0.47,1.0,36.0,64.0,8.0,13.0,19.0,13.0,5.0,31.0,11.0,76.0,24.0,0.53,1.0,40.0,60.0
6.93,10.89,19.8,11.88,7.92,29.7,12.87,75.24,24.75,0.5,1.01,37.62,62.37,8.74,13.59,17.48,11.65,6.8,30.1,11.65,76.71,23.3,0.53,1.03,39.81,60.2
4.85,9.71,19.42,10.68,10.68,33.98,10.68,78.64,21.36,0.46,1.03,33.98,66.02,8.25,12.37,18.56,13.4,5.15,30.93,11.34,75.26,24.74,0.51,0.97,39.18,60.82
7.77,10.68,14.56,9.71,11.65,33.01,12.62,77.67,22.33,0.44,1.03,33.01,66.99,10.89,12.87,21.78,10.89,7.92,25.74,9.9,79.2,20.79,0.57,1.01,45.54,54.45
9.65,9.65,18.42,9.65,12.28,28.95,11.4,78.95,21.05,0.54,1.14,37.72,62.28,10.62,11.5,18.58,11.5,9.73,28.32,9.73,78.75,21.23,0.59,1.13,40.7,59.28
7.92,8.91,18.81,10.89,7.92,32.67,12.87,76.23,23.76,0.47,1.01,35.64,64.35,13.08,12.15,18.69,12.15,7.48,26.17,10.28,77.57,22.43,0.6,1.07,43.92,56.08
6.19,9.28,21.65,10.31,7.22,31.96,13.4,76.3,23.71,0.46,0.97,37.12,62.89,8.0,15.0,18.0,13.0,6.0,30.0,10.0,77.0,23.0,0.54,1.0,41.0,59.0
8.0,10.0,21.0,9.0,7.0,33.0,12.0,79.0,21.0,0.48,1.0,39.0,61.0,7.07,12.12,19.19,13.13,8.08,31.31,9.09,77.77,22.22,0.51,0.99,38.38,61.61
6.25,8.33,22.92,8.33,9.38,32.29,12.5,79.17,20.83,0.44,0.96,37.5,62.5,7.29,13.54,20.83,12.5,6.25,31.25,8.33,79.16,20.83,0.52,0.96,41.66,58.33
10.0,11.0,18.0,9.0,6.0,34.0,12.0,79.0,21.0,0.48,1.0,39.0,61.0,9.0,13.0,18.0,12.0,10.0,29.0,9.0,79.0,21.0,0.52,1.0,40.0,60.0
7.22,9.28,19.59,10.31,10.31,30.93,12.37,77.33,22.68,0.45,0.97,36.09,63.92,6.19,13.4,21.65,12.37,7.22,28.87,10.31,77.33,22.68,0.52,0.97,41.24,58.77
7.07,10.1,22.22,9.09,7.07,32.32,12.12,78.78,21.21,0.48,0.99,39.39,60.6,10.0,11.0,19.0,12.0,7.0,32.0,9.0,79.0,21.0,0.52,1.0,40.0,60.0
8.74,7.77,23.3,7.77,7.77,32.04,12.62,79.62,20.39,0.49,1.03,39.81,60.2,7.0,12.0,20.0,12.0,9.0,32.0,8.0,80.0,20.0,0.51,1.0,39.0,61.0
5.21,9.38,21.88,9.38,9.38,33.33,11.46,79.18,20.84,0.44,0.96,36.47,63.55,8.16,14.29,19.39,13.27,5.1,30.61,9.18,77.55,22.45,0.54,0.98,41.84,58.16
6.12,10.2,21.43,9.18,7.14,33.67,12.24,78.56,21.42,0.46,0.98,37.75,62.23,9.18,12.24,20.41,11.22,6.12,31.63,9.18,79.58,20.4,0.52,0.98,41.83,58.15
8.91,8.91,20.79,7.92,8.91,31.68,12.87,79.2,20.79,0.47,1.01,38.61,61.38,7.07,13.13,20.2,12.12,9.09,30.3,8.08,79.79,20.2,0.52,0.99,40.4,59.59
7.0,8.0,21.0,9.0,8.0,34.0,13.0,78.0,22.0,0.45,1.0,36.0,64.0,9.09,13.13,19.19,13.13,7.07,29.29,9.09,77.77,22.22,0.54,0.99,41.41,58.58
6.06,9.09,19.19,9.09,10.1,33.33,13.13,77.77,22.22,0.43,0.99,34.34,65.65,8.16,13.27,21.43,13.27,6.12,28.57,9.18,77.55,22.45,0.55,0.98,42.86,57.14
5.38,10.75,20.43,10.75,6.45,32.26,13.98,75.27,24.73,0.44,0.93,36.56,63.44,10.0,13.0,20.0,13.0,5.0,29.0,10.0,77.0,23.0,0.56,1.0,43.0,57.0
