R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
18.1,8.1,7.62,8.1,7.62,14.76,35.71,56.2,43.81,0.88,2.1,33.82,66.19,7.44,8.37,6.05,34.88,20.93,18.14,4.19,60.93,39.07,1.22,2.15,21.86,78.14
25.0,10.56,11.11,5.0,18.33,20.0,10.0,85.0,15.0,0.93,1.8,46.67,53.33,20.12,10.98,10.98,10.98,18.29,19.51,9.15,79.88,20.13,0.87,1.64,42.08,57.93
18.52,10.49,9.26,9.26,16.05,23.46,12.96,77.78,22.22,0.77,1.62,38.27,61.73,15.2,11.11,11.11,12.28,23.39,19.88,7.02,80.69,19.3,0.85,1.71,37.42,62.57
24.54,11.04,9.82,7.36,15.95,20.25,11.04,81.6,18.4,0.86,1.63,45.4,54.6,16.88,11.04,10.39,11.69,20.13,20.78,9.09,79.22,20.78,0.77,1.54,38.31,61.69
20.0,10.32,10.32,9.03,14.84,23.23,12.26,78.71,21.29,0.77,1.55,40.64,59.36,14.84,11.61,11.61,12.26,18.71,21.29,9.68,78.06,21.94,0.78,1.55,38.06,61.94
17.37,10.18,9.58,8.98,12.57,22.16,19.16,71.86,28.14,0.77,1.67,37.13,62.87,12.21,11.05,10.47,18.6,18.02,19.19,10.47,70.94,29.07,0.9,1.72,33.73,66.28
19.02,9.82,10.43,11.04,14.11,22.7,12.88,76.08,23.92,0.82,1.63,39.27,60.73,14.47,11.32,11.95,13.21,19.5,20.75,8.81,77.99,22.02,0.81,1.59,37.74,62.27
19.62,10.13,10.76,8.86,15.82,23.42,11.39,79.75,20.25,0.78,1.58,40.51,59.49,15.62,11.88,11.25,11.25,21.25,21.25,7.5,81.25,18.75,0.8,1.6,38.75,61.25
18.89,8.89,10.0,6.67,10.0,20.56,25.0,68.34,31.67,0.8,1.8,37.78,62.23,8.96,8.96,9.45,22.39,24.38,16.42,9.45,68.17,31.84,1.0,2.01,27.37,72.64
23.56,7.69,8.17,9.13,13.46,24.04,13.94,76.92,23.07,1.01,2.08,39.42,60.57,14.07,10.05,15.08,14.57,24.12,17.59,4.52,80.91,19.09,1.07,1.99,39.2,60.8
27.59,9.77,10.34,5.17,12.07,23.56,11.49,83.33,16.66,0.92,1.74,47.7,52.29,12.65,10.84,13.86,12.05,20.48,21.69,8.43,79.52,20.48,0.82,1.66,37.35,62.65
18.38,9.19,10.27,7.57,12.43,30.27,11.89,80.54,19.46,0.84,1.85,37.84,62.16,11.79,9.74,18.97,11.28,23.59,17.44,7.18,81.53,18.46,1.01,1.95,40.5,59.49
26.29,9.71,9.71,8.0,12.57,22.29,11.43,80.57,19.43,0.94,1.75,45.71,54.29,13.25,11.45,12.05,12.05,19.88,21.69,9.64,78.32,21.69,0.81,1.66,36.75,63.26
19.3,9.94,11.11,9.36,16.96,22.81,10.53,80.12,19.89,0.85,1.71,40.35,59.66,18.01,10.56,13.66,11.18,19.88,19.88,6.83,81.99,18.01,0.86,1.61,42.23,57.77
18.71,9.94,8.77,6.43,23.98,19.88,12.28,81.28,18.71,0.75,1.71,37.42,62.57,22.28,8.15,10.33,11.41,23.37,16.85,7.61,80.98,19.02,0.96,1.84,40.76,59.24
23.63,9.34,7.69,7.69,23.08,19.78,8.79,83.52,16.48,0.88,1.82,40.66,59.34,22.7,9.73,9.73,8.65,22.7,17.3,9.19,82.16,17.84,0.94,1.85,42.16,57.84
21.21,8.59,7.58,8.59,26.26,17.17,10.61,80.81,19.2,0.91,1.98,37.38,62.63,26.0,8.0,9.0,10.5,21.5,15.5,9.5,80.0,20.0,1.07,2.0,43.0,57.0
18.3,7.23,5.96,8.09,36.6,15.32,8.51,83.41,16.6,0.93,2.35,31.49,68.52,38.05,7.08,8.85,8.85,16.81,14.16,6.19,84.95,15.04,1.42,2.26,53.98,46.01
19.9,8.9,7.85,7.33,26.18,17.8,12.04,80.63,19.37,0.84,1.91,36.65,63.35,25.91,8.29,9.33,11.92,18.13,17.62,8.81,79.28,20.73,1.07,1.93,43.53,56.48
20.35,9.88,9.88,9.88,14.53,19.19,16.28,73.83,26.16,0.86,1.72,40.11,59.88,15.72,10.69,10.06,17.61,16.35,19.5,10.06,72.32,27.67,0.86,1.59,36.47,63.52
16.15,9.94,9.32,9.94,13.04,24.22,17.39,72.67,27.33,0.73,1.61,35.41,64.59,11.93,10.8,11.36,15.91,19.89,19.32,10.8,73.3,26.71,0.88,1.76,34.09,65.92
18.82,9.14,9.14,10.22,19.89,19.35,13.44,76.34,23.66,0.88,1.86,37.1,62.9,21.64,10.53,10.53,14.62,16.96,19.88,5.85,79.54,20.47,0.98,1.71,42.7,57.31
18.83,11.69,10.39,6.49,15.58,24.68,12.34,81.17,18.83,0.73,1.54,40.91,59.09,15.48,11.61,12.9,12.26,20.0,21.94,5.81,81.93,18.07,0.81,1.55,39.99,60.01
18.67,10.24,10.24,5.42,25.3,19.28,10.84,83.73,16.26,0.74,1.66,39.15,60.84,24.14,9.77,8.62,10.34,20.11,20.11,6.9,82.75,17.24,0.92,1.74,42.53,57.46
18.92,9.19,9.73,6.49,24.32,18.92,12.43,81.08,18.92,0.82,1.85,37.84,62.16,24.19,8.6,10.22,12.37,18.82,17.2,8.6,79.03,20.97,1.03,1.86,43.01,56.99
18.62,9.04,7.98,8.51,19.68,18.09,18.09,73.41,26.6,0.83,1.88,35.64,64.37,18.78,8.12,9.14,17.26,18.78,16.75,11.17,71.57,28.43,1.05,1.97,36.04,63.96
19.58,8.99,8.47,11.64,14.81,21.69,14.81,73.54,26.45,0.92,1.89,37.04,62.95,15.38,9.89,12.64,15.38,19.23,17.58,9.89,74.72,25.27,0.97,1.82,37.91,62.08
20.59,9.41,9.41,10.59,14.71,23.53,11.76,77.65,22.35,0.85,1.7,39.41,60.59,15.43,11.11,13.58,12.35,17.9,19.75,9.88,77.77,22.23,0.85,1.62,40.12,59.88
17.26,10.12,8.93,9.52,16.07,26.19,11.9,78.57,21.42,0.77,1.68,36.31,63.68,15.98,11.24,14.79,11.83,14.79,19.53,11.83,76.33,23.66,0.91,1.69,42.01,57.98
14.37,9.77,9.2,11.49,22.41,20.69,12.07,76.44,23.56,0.78,1.74,33.34,66.66,22.41,9.77,10.92,12.07,18.97,18.39,7.47,80.46,19.54,0.96,1.74,43.1,56.9
