Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
299,313,324,348,359,399,405,359,367,381,405,417,342,348
417,425,435,458,469,507,512,469,475,489,512,524,453,458
524,530,540,563,573,609,615,573,578,591,615,627,557,563
627,634,644,667,678,713,716,678,682,695,716,731,662,667
731,738,748,771,780,815,820,780,784,797,820,833,765,771
833,841,851,874,885,922,925,885,890,904,925,940,869,874
940,947,957,981,991,1029,1033,991,996,1011,1033,1047,975,981
1047,1054,1064,1084,1096,1132,1131,1096,1100,1114,1131,1149,1081,1084
1149,1157,1169,1193,1205,1245,1246,1205,1212,1226,1246,1263,1188,1193
1263,1269,1280,1302,1312,1349,1353,1312,1317,1332,1353,1365,1297,1302
1365,1371,1381,1404,1414,1449,1455,1414,1418,1432,1455,1466,1398,1404
1466,1474,1484,1508,1517,1551,1557,1517,1520,1533,1557,1569,1501,1508
1569,1576,1586,1609,1620,1654,1659,1620,1623,1636,1659,1672,1604,1609
1672,1679,1689,1711,1722,1759,1764,1722,1726,1740,1764,1777,1706,1711
1777,1783,1794,1817,1826,1862,1868,1826,1831,1844,1868,1880,1811,1817
1880,1887,1898,1921,1931,1967,1974,1931,1935,1948,1974,1986,1915,1921
1986,1994,2004,2027,2039,2082,2081,2039,2048,2060,2081,2103,2022,2027
2103,2111,2121,2146,2158,2198,2201,2158,2166,2180,2201,2216,2140,2146
2216,2222,2232,2256,2264,2302,2305,2264,2271,2284,2305,2319,2249,2256
2319,2326,2336,2359,2369,2406,2412,2369,2374,2388,2412,2424,2353,2359
2424,2430,2441,2464,2473,2510,2514,2473,2477,2491,2514,2528,2458,2464
2528,2535,2544,2568,2578,2615,2620,2578,2583,2597,2620,2632,2562,2568
2632,2638,2648,2670,2682,2720,2725,2682,2687,2702,2725,2738,2666,2670
2738,2745,2755,2778,2789,2825,2830,2789,2793,2807,2830,2843,2773,2778
2843,2851,2860,2884,2895,2933,2938,2895,2901,2915,2938,2951,2878,2884
