R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
11.86,9.32,20.34,9.32,6.78,32.2,10.17,80.5,19.49,0.6,1.18,41.52,58.47,7.27,12.73,21.82,10.91,7.27,30.0,10.0,79.09,20.91,0.58,1.1,41.82,58.18
7.48,9.35,21.5,10.28,5.61,34.58,11.21,78.52,21.49,0.52,1.07,38.33,61.68,5.77,13.46,22.12,11.54,5.77,31.73,9.62,78.85,21.16,0.55,1.04,41.35,58.66
5.83,9.71,22.33,9.71,4.85,35.92,11.65,78.64,21.36,0.49,1.03,37.87,62.13,4.76,12.38,22.86,11.43,6.67,31.43,10.48,78.1,21.91,0.54,1.05,40.0,60.01
6.73,9.62,22.12,10.58,3.85,32.69,14.42,75.01,25.0,0.51,1.04,38.47,61.54,3.92,12.75,20.59,14.71,6.86,32.35,8.82,76.47,23.53,0.53,1.02,37.26,62.74
6.86,9.8,22.55,8.82,3.92,35.29,12.75,78.42,21.57,0.49,1.02,39.21,60.78,3.81,12.38,21.9,12.38,7.62,31.43,10.48,77.14,22.86,0.53,1.05,38.09,61.91
7.48,9.35,21.5,10.28,4.67,32.71,14.02,75.71,24.3,0.52,1.07,38.33,61.68,4.72,13.21,19.81,14.15,6.6,32.08,9.43,76.42,23.58,0.55,1.06,37.74,62.26
6.54,9.35,22.43,9.35,4.67,34.58,13.08,77.57,22.43,0.51,1.07,38.32,61.68,4.76,14.29,20.95,13.33,6.67,28.57,11.43,75.24,24.76,0.56,1.05,40.0,60.0
6.86,9.8,19.61,11.76,3.92,30.39,17.65,70.58,29.41,0.49,1.02,36.27,63.72,3.67,12.84,15.6,16.51,7.34,33.03,11.01,72.48,27.52,0.53,1.09,32.11,67.89
7.02,10.53,21.05,10.53,6.14,29.82,14.91,74.56,25.44,0.56,1.14,38.6,61.4,6.54,13.08,18.69,15.89,5.61,30.84,9.35,74.76,25.24,0.58,1.07,38.31,61.69
5.88,10.78,21.57,9.8,4.9,35.29,11.76,78.42,21.56,0.49,1.02,38.23,61.75,4.9,14.71,20.59,11.76,5.88,32.35,9.8,78.43,21.56,0.53,1.02,40.2,59.79
5.94,9.9,22.77,9.9,3.96,36.63,10.89,79.2,20.79,0.49,1.01,38.61,61.38,3.88,13.59,22.33,10.68,7.77,33.01,8.74,80.58,19.42,0.52,1.03,39.8,60.2
7.77,9.71,23.3,8.74,2.91,35.92,11.65,79.61,20.39,0.51,1.03,40.78,59.22,2.91,12.62,23.3,11.65,6.8,32.04,10.68,77.67,22.33,0.52,1.03,38.83,61.17
6.8,9.71,22.33,10.68,2.91,34.95,12.62,76.7,23.3,0.51,1.03,38.84,61.16,2.94,12.75,22.55,12.75,6.86,31.37,10.78,76.47,23.53,0.52,1.02,38.24,61.76
