Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
83,96,108,127,138,170,173,31,39,53,72,83,124,127
184,191,202,222,232,262,266,138,143,155,173,184,218,222
276,283,295,313,323,353,355,232,235,247,266,276,310,313
366,371,383,401,410,439,442,323,327,339,355,366,397,401
452,458,469,487,497,525,526,410,413,425,442,452,484,487
537,542,553,571,581,610,612,497,500,512,526,537,568,571
623,628,639,656,666,697,700,581,585,597,612,623,653,656
710,714,726,746,757,791,794,666,673,684,700,710,742,746
804,811,823,842,852,883,887,757,765,777,794,804,838,842
897,904,915,932,942,972,974,852,857,869,887,897,929,932
986,991,1001,1019,1030,1062,1066,942,946,958,974,986,1016,1019
1076,1080,1092,1110,1120,1150,1152,1030,1035,1048,1066,1076,1107,1110
1164,1169,1180,1199,1208,1238,1243,1120,1124,1136,1152,1164,1195,1199
1252,1259,1270,1288,1297,1326,1328,1208,1213,1223,1243,1252,1284,1288
1339,1343,1355,1373,1383,1414,1417,1297,1301,1313,1328,1339,1370,1373
1427,1434,1446,1465,1474,1503,1506,1383,1387,1400,1417,1427,1461,1465
1517,1522,1534,1552,1562,1592,1596,1474,1477,1489,1506,1517,1549,1552
1606,1613,1626,1644,1653,1683,1685,1562,1566,1578,1596,1606,1640,1644
1697,1705,1717,1735,1745,1777,1781,1653,1656,1668,1685,1697,1732,1735
1792,1801,1813,1831,1841,1872,1875,1745,1750,1762,1781,1792,1828,1831
1886,1893,1905,1922,1932,1962,1965,1841,1845,1858,1875,1886,1919,1922
1976,1983,1996,2013,2023,2054,2057,1932,1936,1948,1965,1976,2010,2013
2068,2075,2088,2105,2115,2145,2149,2023,2027,2039,2057,2068,2102,2105
2159,2166,2178,2196,2206,2235,2237,2115,2118,2130,2149,2159,2193,2196
2249,2257,2269,2287,2298,2327,2330,2206,2208,2221,2237,2249,2284,2287
2341,2350,2362,2380,2390,2419,2424,2298,2300,2312,2330,2341,2377,2380
2433,2441,2453,2472,2482,2512,2515,2390,2393,2405,2424,2433,2468,2472
2526,2536,2548,2565,2576,2603,2608,2482,2485,2497,2515,2526,2563,2565
2616,2625,2637,2654,2665,2695,2701,2576,2577,2589,2608,2616,2652,2654
2709,2721,2734,2750,2762,2794,2797,2665,2670,2681,2701,2709,2749,2750
2808,2816,2828,2842,2856,2889,2891,2762,2769,2780,2797,2808,2843,2842
2903,2917,2929,2948,2959,2993,2995,2856,2862,2874,2891,2903,2945,2948
3007,3016,3028,3047,3057,3087,3090,2959,2965,2978,2995,3007,3043,3047
3101,3108,3121,3138,3149,3181,3184,3057,3060,3073,3090,3101,3136,3138
3194,3201,3212,3231,3241,3274,3278,3149,3153,3167,3184,3194,3227,3231
3288,3296,3308,3327,3338,3370,3374,3241,3246,3259,3278,3288,3324,3327
3384,3393,3404,3424,3433,3467,3471,3338,3342,3355,3374,3384,3419,3424
3482,3493,3505,3523,3533,3567,3570,3433,3438,3451,3471,3482,3520,3523
3581,3589,3601,3620,3630,3661,3666,3533,3539,3552,3570,3581,3616,3620
3676,3686,3698,3716,3727,3761,3766,3630,3633,3646,3666,3676,3713,3716
3775,3784,3797,3815,3824,3856,3862,3727,3734,3747,3766,3775,3811,3815
3871,3878,3890,3908,3919,3950,3955,3824,3829,3841,3862,3871,3905,3908
3965,3976,3987,4005,4015,4048,4053,3919,3922,3934,3955,3965,4002,4005
4063,4071,4084,4102,4112,4144,4148,4015,4020,4032,4053,4063,4099,4102
4158,4166,4178,4196,4206,4237,4242,4112,4116,4129,4148,4158,4193,4196
4252,4260,4272,4290,4301,4332,4338,4206,4209,4222,4242,4252,4287,4290
4347,4355,4367,4386,4396,4429,4433,4301,4306,4317,4338,4347,4382,4386
4444,4452,4465,4483,4493,4525,4528,4396,4400,4413,4433,4444,4480,4483
4539,4546,4557,4577,4585,4618,4622,4493,4498,4511,4528,4539,4572,4577
