Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
236,261,273,297,312,368,370,131,185,197,219,236,293,297
387,401,413,436,449,501,506,312,335,349,370,387,432,436
519,532,544,568,580,634,638,449,468,483,506,519,563,568
653,666,678,700,713,763,767,580,600,615,638,653,696,700
782,796,809,833,846,895,898,713,728,744,767,782,828,833
913,926,939,959,971,1021,1024,846,860,876,898,913,956,959
1039,1053,1065,1090,1103,1154,1157,971,986,1002,1024,1039,1085,1090
1172,1185,1197,1220,1232,1279,1283,1103,1121,1135,1157,1172,1215,1220
1296,1310,1323,1343,1360,1412,1415,1232,1248,1262,1283,1296,1342,1343
1430,1447,1462,1480,1501,1559,1560,1360,1377,1394,1415,1430,1482,1480
1580,1603,1615,1637,1653,1705,1707,1501,1521,1537,1560,1580,1635,1637
1723,1737,1748,1773,1785,1836,1840,1653,1670,1686,1707,1723,1767,1773
1854,1864,1879,1903,1917,1964,1969,1785,1802,1818,1840,1854,1899,1903
1982,1994,2008,2028,2042,2090,2093,1917,1931,1946,1969,1982,2026,2028
2108,2119,2133,2155,2169,2213,2217,2042,2056,2072,2093,2108,2152,2155
2231,2242,2256,2279,2291,2343,2346,2169,2182,2195,2217,2231,2274,2279
2361,2376,2390,2410,2424,2475,2478,2291,2308,2324,2346,2361,2408,2410
2493,2509,2523,2546,2557,2608,2610,2424,2440,2456,2478,2493,2541,2546
2627,2639,2654,2676,2692,2746,2748,2557,2574,2589,2610,2627,2674,2676
2767,2789,2803,2823,2843,2906,2906,2692,2709,2724,2748,2767,2824,2823
2929,2957,2973,2990,3004,3055,3058,2843,2867,2883,2906,2929,2989,2990
3073,3091,3104,3126,3139,3185,3187,3004,3023,3037,3058,3073,3122,3126
3204,3221,3234,3255,3270,3317,3321,3139,3152,3166,3187,3204,3253,3255
3335,3347,3360,3383,3396,3442,3445,3270,3284,3299,3321,3335,3379,3383
3459,3471,3485,3507,3519,3568,3572,3396,3408,3424,3445,3459,3503,3507
3586,3600,3613,3632,3645,3695,3698,3519,3534,3549,3572,3586,3630,3632
3714,3728,3741,3760,3774,3823,3826,3645,3660,3676,3698,3714,3758,3760
3841,3857,3870,3893,3905,3958,3960,3774,3790,3805,3826,3841,3888,3893
3976,3991,4003,4024,4035,4087,4092,3905,3924,3939,3960,3976,4020,4024
4106,4129,4143,4165,4181,4249,4253,4035,4052,4068,4092,4106,4163,4165
4266,4286,4303,4320,4346,4415,4414,4181,4216,4231,4253,4266,4325,4320
4434,4458,4473,4494,4516,4579,4581,4346,4380,4395,4414,4434,4495,4494
4599,4621,4634,4654,4667,4729,4732,4516,4543,4558,4581,4599,4651,4654
4750,4773,4787,4809,4825,4880,4881,4667,4692,4707,4732,4750,4807,4809
4897,4910,4924,4947,4960,5013,5015,4825,4848,4862,4881,4897,4943,4947
5032,5047,5060,5083,5099,5152,5156,4960,4979,4993,5015,5032,5080,5083
5172,5189,5202,5223,5236,5288,5291,5099,5116,5132,5156,5172,5220,5223
5308,5322,5336,5356,5373,5425,5427,5236,5250,5267,5291,5308,5355,5356
5444,5461,5474,5493,5505,5558,5560,5373,5391,5406,5427,5444,5490,5493
5577,5597,5610,5631,5647,5708,5712,5505,5521,5538,5560,5577,5629,5631
5730,5749,5762,5780,5796,5862,5867,5647,5671,5685,5712,5730,5780,5780
5884,5910,5923,5939,5956,6030,6041,5796,5822,5839,5867,5884,5940,5939
6054,6080,6095,6114,6131,6209,6207,5956,5991,6006,6041,6054,6114,6114
6239,6266,6278,6298,6314,6371,6374,6131,6163,6179,6207,6239,6297,6298
6390,6405,6418,6440,6454,6507,6511,6314,6337,6351,6374,6390,6437,6440
6527,6545,6558,6578,6591,6640,6639,6454,6471,6487,6511,6527,6575,6578
6661,6678,6691,6714,6728,6782,6786,6591,6603,6618,6639,6661,6710,6714
6802,6818,6830,6852,6866,6917,6920,6728,6747,6762,6786,6802,6849,6852
6936,6950,6963,6985,7000,7051,7054,6866,6883,6898,6920,6936,6982,6985
7071,7089,7101,7119,7135,7187,7186,7000,7015,7031,7054,7071,7119,7119
7207,7226,7238,7258,7271,7318,7320,7135,7150,7166,7186,7207,7255,7258
7337,7352,7365,7386,7400,7453,7456,7271,7284,7299,7320,7337,7383,7386
7470,7489,7503,7524,7545,7606,7610,7400,7419,7436,7456,7470,7525,7524
7623,7641,7656,7674,7689,7779,7781,7545,7571,7588,7610,7623,7673,7674
7801,7821,7835,7854,7870,7925,7929,7689,7703,7756,7781,7801,7853,7854
7943,7954,7967,7989,8004,8052,8056,7870,7892,7907,7929,7943,7986,7989
8071,8083,8096,8121,8132,8184,8187,8004,8021,8033,8056,8071,8115,8121
8202,8213,8225,8247,8259,8309,8312,8132,8150,8165,8187,8202,8243,8247
8328,8340,8352,8375,8388,8440,8441,8259,8273,8290,8312,8328,8371,8375
8459,8471,8484,8508,8522,8578,8581,8388,8404,8420,8441,8459,8504,8508
8596,8611,8623,8646,8661,8713,8716,8522,8544,8560,8581,8596,8643,8646
8733,8748,8761,8780,8794,8846,8850,8661,8678,8693,8716,8733,8778,8780
8866,8882,8895,8917,8935,9012,9016,8794,8808,8825,8850,8866,8916,8917
9033,9053,9071,9089,9106,9169,9170,8935,8963,8991,9016,9033,9089,9089
9190,9218,9234,9251,9267,9325,9327,9106,9131,9147,9170,9190,9251,9251
9345,9360,9373,9394,9409,9462,9464,9267,9290,9304,9327,9345,9392,9394
9481,9491,9505,9529,9541,9593,9596,9409,9428,9442,9464,9481,9524,9529
9613,9626,9639,9662,9675,9729,9732,9541,9557,9573,9596,9613,9658,9662
9746,9762,9776,9795,9809,9860,9863,9675,9693,9711,9732,9746,9793,9795
9879,9894,9907,9929,9942,9992,9994,9809,9825,9840,9863,9879,9925,9929
10010,10025,10039,10061,10075,10130,10134,9942,9958,9973,9994,10010,10058,10061
10151,10173,10186,10208,10222,10277,10281,10075,10093,10108,10134,10151,10205,10208
10297,10312,10325,10347,10362,10424,10429,10222,10241,10257,10281,10297,10344,10347
10444,10461,10476,10494,10513,10576,10580,10362,10388,10404,10429,10444,10495,10494
10596,10621,10633,10653,10665,10722,10725,10513,10539,10555,10580,10596,10650,10653
10739,10766,10781,10801,10818,10876,10880,10665,10687,10704,10725,10739,10800,10801
