R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
16.56,7.95,15.89,9.93,15.23,23.18,11.26,78.81,21.19,0.76,1.51,40.4,59.6,29.83,6.63,12.15,9.39,13.81,19.89,8.29,82.31,17.68,1.05,1.81,48.61,51.38
10.61,9.09,17.42,9.85,14.39,28.79,9.85,80.3,19.7,0.62,1.32,37.12,62.88,16.79,10.22,15.33,12.41,10.22,25.55,9.49,78.11,21.9,0.75,1.37,42.34,57.67
9.7,8.96,17.91,8.96,14.93,28.36,11.19,79.86,20.15,0.61,1.34,36.57,63.44,14.5,11.45,17.56,9.92,9.92,27.48,9.16,80.91,19.08,0.7,1.31,43.51,56.48
10.08,9.3,17.05,10.08,11.63,30.23,11.63,78.29,21.71,0.6,1.29,36.43,63.57,15.04,11.28,17.29,11.28,9.77,25.56,9.77,78.94,21.05,0.73,1.33,43.61,56.38
10.69,9.92,18.32,9.92,10.69,29.01,11.45,78.63,21.37,0.64,1.31,38.93,61.07,11.28,12.03,17.29,11.28,10.53,27.82,9.77,78.95,21.05,0.69,1.33,40.6,59.4
10.32,10.32,15.87,9.52,11.9,30.16,11.9,78.57,21.42,0.58,1.26,36.51,63.48,11.2,12.8,17.6,12.0,10.4,26.4,9.6,78.4,21.6,0.67,1.25,41.6,58.4
10.53,9.02,18.8,9.77,13.53,27.07,11.28,78.95,21.05,0.64,1.33,38.35,61.65,11.36,12.12,16.67,11.36,10.61,28.03,9.85,78.79,21.21,0.68,1.32,40.15,59.85
10.48,9.68,18.55,9.68,12.9,28.23,10.48,79.84,20.16,0.6,1.24,38.71,61.29,13.95,10.85,17.05,11.63,10.08,27.13,9.3,79.06,20.93,0.69,1.29,41.85,58.14
10.45,9.7,14.93,12.69,12.69,28.36,11.19,76.13,23.88,0.64,1.34,35.08,64.93,12.5,10.94,16.41,10.16,10.94,25.78,13.28,76.57,23.44,0.64,1.28,39.85,60.16
11.33,10.0,12.0,14.0,13.33,26.0,13.33,72.66,27.33,0.71,1.5,33.33,66.66,12.06,12.06,14.89,10.64,12.06,23.4,14.89,74.47,25.53,0.7,1.41,39.01,60.99
16.08,8.39,15.38,11.19,11.89,25.87,11.19,77.61,22.38,0.73,1.43,39.85,60.14,13.16,10.53,15.13,13.16,15.13,22.37,10.53,76.32,23.69,0.79,1.52,38.82,61.19
10.69,8.4,19.08,9.16,12.98,29.01,10.69,80.16,19.85,0.62,1.31,38.17,61.84,12.88,12.12,15.91,12.12,10.61,27.27,9.09,78.79,21.21,0.7,1.32,40.91,59.09
7.81,11.72,18.75,10.94,10.94,29.69,10.16,78.91,21.1,0.63,1.28,38.28,61.73,12.88,12.12,16.67,10.61,7.58,29.55,10.61,78.8,21.22,0.69,1.32,41.67,58.35
9.52,11.11,15.87,11.11,11.11,29.37,11.9,76.98,23.01,0.6,1.26,36.5,63.49,11.2,12.0,18.4,10.4,9.6,27.2,11.2,78.4,21.6,0.65,1.25,41.6,58.4
8.94,11.38,17.89,11.38,10.57,28.46,11.38,77.24,22.76,0.61,1.23,38.21,61.79,11.02,12.6,16.54,11.81,8.66,28.35,11.02,77.17,22.83,0.66,1.27,40.16,59.84
