Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
183,196,209,228,240,386,282,126,138,151,168,183,225,228
294,302,315,333,346,492,387,240,249,262,282,294,331,333
402,409,422,442,454,598,494,346,355,369,387,402,439,442
509,518,531,549,561,701,600,454,462,475,494,509,547,549
614,621,633,652,664,803,705,561,567,581,600,614,649,652
717,726,739,755,766,910,806,664,672,685,705,717,753,755
821,831,846,864,876,1015,912,766,771,784,806,821,862,864
926,933,946,963,976,1120,1018,876,881,894,912,926,962,963
1032,1040,1053,1071,1083,1219,1121,976,984,998,1018,1032,1069,1071
1136,1142,1155,1171,1183,1328,1221,1083,1091,1104,1121,1136,1170,1171
1235,1244,1258,1275,1288,1433,1326,1183,1189,1203,1221,1235,1274,1275
1344,1353,1366,1384,1396,1536,1436,1288,1297,1311,1326,1344,1382,1384
1450,1458,1472,1489,1500,1641,1538,1396,1403,1416,1436,1450,1487,1489
1551,1556,1570,1587,1599,1748,1641,1500,1506,1521,1538,1551,1585,1587
1657,1665,1679,1696,1710,1852,1750,1599,1609,1624,1641,1657,1695,1696
1765,1774,1787,1804,1816,1952,1856,1710,1717,1731,1750,1765,1802,1804
1868,1875,1888,1904,1915,2058,1954,1816,1822,1835,1856,1868,1902,1904
1968,1976,1989,2007,2019,2163,2060,1915,1922,1935,1954,1968,2005,2007
2074,2085,2098,2115,2127,2270,2167,2019,2027,2041,2060,2074,2113,2115
2180,2188,2201,2220,2232,2373,2274,2127,2133,2146,2167,2180,2217,2220
2287,2294,2307,2323,2335,2479,2377,2232,2239,2252,2274,2287,2322,2323
2389,2396,2409,2426,2438,2590,2482,2335,2343,2357,2377,2389,2424,2426
2496,2508,2521,2538,2552,2697,2591,2438,2448,2462,2482,2496,2537,2538
2607,2617,2631,2647,2661,2808,2697,2552,2559,2572,2591,2607,2647,2647
2712,2719,2736,2756,2766,2920,2808,2661,2669,2681,2697,2712,2752,2756
2825,2839,2854,2869,2883,3024,2925,2766,2779,2790,2808,2825,2869,2869
2938,2948,2961,2977,2991,3127,3027,2883,2889,2902,2925,2938,2977,2977
3039,3047,3061,3079,3093,3231,3130,2991,2996,3008,3027,3039,3078,3079
3143,3151,3166,3182,3194,3331,3233,3093,3098,3111,3130,3143,3181,3182
3246,3252,3264,3283,3295,3433,3334,3194,3202,3215,3233,3246,3280,3283
3347,3354,3367,3386,3398,3539,3435,3295,3302,3315,3334,3347,3383,3386
3449,3458,3472,3490,3502,3645,3540,3398,3404,3417,3435,3449,3488,3490
3555,3565,3578,3597,3610,3750,3648,3502,3509,3522,3540,3555,3595,3597
3662,3671,3683,3702,3714,3852,3753,3610,3615,3628,3648,3662,3699,3702
3766,3775,3789,3805,3818,3957,3857,3714,3721,3734,3753,3766,3804,3805
3868,3875,3889,3907,3920,4062,3962,3818,3824,3836,3857,3868,3905,3907
3974,3984,3997,4015,4028,4168,4066,3920,3927,3940,3962,3974,4013,4015
4079,4087,4098,4119,4130,4271,4170,4028,4033,4044,4066,4079,4115,4119
4184,4192,4205,4223,4235,4375,4273,4130,4138,4152,4170,4184,4221,4223
4287,4295,4309,4326,4339,4479,4377,4235,4241,4254,4273,4287,4325,4326
4391,4400,4413,4431,4444,4585,4481,4339,4345,4358,4377,4391,4429,4431
4495,4504,4518,4535,4547,4686,4586,4444,4449,4463,4481,4495,4533,4535
4601,4607,4620,4637,4650,4788,4689,4547,4555,4569,4586,4601,4636,4637
4702,4710,4722,4743,4754,4895,4790,4650,4657,4670,4689,4702,4739,4743
4804,4813,4827,4846,4859,4998,4899,4754,4759,4772,4790,4804,4844,4846
4912,4921,4933,4952,4963,5100,5001,4859,4865,4878,4899,4912,4949,4952
5013,5018,5033,5051,5063,5202,5102,4963,4971,4983,5001,5013,5049,5051
5115,5121,5134,5154,5165,5311,5204,5063,5070,5084,5102,5115,5150,5154
5218,5227,5240,5259,5273,5414,5312,5165,5171,5185,5204,5218,5257,5259
5327,5336,5350,5367,5378,5532,5415,5273,5280,5294,5312,5327,5365,5367
5431,5441,5458,5475,5493,5641,5526,5378,5384,5397,5415,5431,5476,5475
5552,5555,5570,5585,5602,5743,5642,5493,5499,5511,5526,5552,5587,5585
5657,5666,5679,5696,5709,5843,5746,5602,5612,5624,5642,5657,5695,5696
5758,5766,5778,5796,5807,5944,5844,5709,5714,5727,5746,5758,5793,5796
5860,5865,5878,5896,5907,6046,5948,5807,5813,5826,5844,5860,5893,5896
5960,5967,5980,5999,6010,6148,6051,5907,5914,5927,5948,5960,5996,5999
6062,6069,6082,6100,6111,6250,6151,6010,6017,6029,6051,6062,6097,6100
6163,6169,6182,6199,6210,6355,6255,6111,6119,6132,6151,6163,6197,6199
6268,6275,6288,6305,6317,6458,6360,6210,6218,6232,6255,6268,6303,6305
6371,6378,6391,6411,6422,6562,6462,6317,6325,6338,6360,6371,6407,6411
6474,6482,6495,6513,6525,6667,6565,6422,6428,6441,6462,6474,6511,6513
6579,6587,6601,6618,6631,6771,6668,6525,6532,6545,6565,6579,6617,6618
6683,6692,6705,6723,6734,6872,6774,6631,6636,6650,6668,6683,6720,6723
6786,6793,6806,6823,6835,6974,6875,6734,6742,6755,6774,6786,6821,6823
6888,6896,6909,6926,6939,7077,6980,6835,6841,6855,6875,6888,6925,6926
6991,7000,7011,7030,7041,7182,7083,6939,6944,6957,6980,6991,7027,7030
7095,7104,7117,7134,7145,7287,7185,7041,7047,7059,7083,7095,7132,7134
7198,7204,7217,7237,7248,7388,7288,7145,7152,7166,7185,7198,7233,7237
7303,7309,7322,7341,7352,7489,7391,7248,7256,7270,7288,7303,7338,7341
7403,7410,7423,7442,7453,7592,7492,7352,7359,7372,7391,7403,7439,7442
7505,7513,7526,7545,7555,7691,7596,7453,7459,7472,7492,7505,7541,7545
7609,7616,7629,7645,7656,7795,7693,7555,7562,7575,7596,7609,7643,7645
7708,7715,7728,7746,7757,7898,7798,7656,7662,7674,7693,7708,7743,7746
7811,7817,7830,7849,7860,8005,7902,7757,7765,7778,7798,7811,7846,7849
7915,7925,7937,7955,7967,8114,8008,7860,7869,7880,7902,7915,7953,7955
8023,8030,8044,8061,8075,8227,8109,7967,7974,7987,8008,8023,8060,8061
8134,8143,8157,8173,8188,8343,8226,8075,8081,8094,8109,8134,8173,8173
8241,8253,8271,8291,8307,8438,8344,8188,8199,8212,8226,8241,8290,8291
8357,8362,8376,8391,8403,8543,8439,8307,8317,8329,8344,8357,8390,8391
8454,8462,8475,8492,8505,8643,8544,8403,8409,8422,8439,8454,8491,8492
8558,8565,8578,8596,8608,8744,8646,8505,8514,8527,8544,8558,8594,8596
8658,8666,8679,8697,8709,8849,8746,8608,8614,8627,8646,8658,8695,8697
8760,8768,8782,8800,8812,8952,8850,8709,8714,8728,8746,8760,8798,8800
8865,8872,8885,8903,8915,9057,8952,8812,8821,8833,8850,8865,8901,8903
8968,8976,8990,9006,9019,9159,9057,8915,8922,8935,8952,8968,9005,9006
9073,9080,9094,9111,9124,9261,9162,9019,9028,9041,9057,9073,9110,9111
9174,9182,9195,9213,9225,9362,9264,9124,9131,9144,9162,9174,9211,9213
9277,9284,9297,9315,9328,9463,9363,9225,9232,9245,9264,9277,9313,9315
9377,9383,9396,9412,9425,9568,9465,9328,9334,9347,9363,9377,9411,9412
9479,9488,9501,9519,9532,9670,9569,9425,9432,9446,9465,9479,9517,9519
9583,9592,9606,9623,9636,9767,9671,9532,9540,9553,9569,9583,9622,9623
9683,9689,9702,9717,9730,9870,9768,9636,9643,9656,9671,9683,9717,9717
9783,9793,9806,9824,9837,9974,9873,9730,9738,9751,9768,9783,9822,9824
9886,9895,9908,9926,9938,10079,9975,9837,9841,9854,9873,9886,9924,9926
9989,9996,10010,10028,10040,10186,10079,9938,9945,9958,9975,9989,10026,10028
10096,10104,10117,10135,10146,10288,10187,10040,10047,10061,10079,10096,10132,10135
10202,10209,10222,10241,10253,10393,10292,10146,10155,10169,10187,10202,10238,10241
10304,10311,10325,10344,10356,10498,10396,10253,10259,10272,10292,10304,10341,10344
10410,10418,10432,10450,10462,10603,10499,10356,10362,10376,10396,10410,10448,10450
10514,10521,10534,10552,10564,10709,10605,10462,10468,10481,10499,10514,10550,10552
10619,10626,10640,10658,10670,10817,10713,10564,10573,10586,10605,10619,10656,10658
10726,10735,10748,10766,10777,10929,10817,10670,10678,10691,10713,10726,10763,10766
10835,10846,10859,10879,10891,11050,10929,10777,10786,10798,10817,10835,10876,10879
10946,10958,10973,10991,11009,11167,11048,10891,10898,10911,10929,10946,10992,10991
11068,11077,11095,11107,11127,11273,11168,11009,11020,11031,11048,11068,11112,11107
11183,11194,11208,11224,11237,11372,11274,11127,11139,11150,11168,11183,11223,11224
11287,11293,11307,11324,11337,11474,11374,11237,11245,11258,11274,11287,11323,11324
11388,11395,11408,11425,11437,11576,11476,11337,11343,11356,11374,11388,11423,11425
11490,11497,11510,11527,11540,11680,11579,11437,11443,11457,11476,11490,11526,11527
11593,11600,11613,11631,11643,11783,11682,11540,11546,11559,11579,11593,11629,11631
11697,11705,11718,11734,11747,11886,11783,11643,11650,11663,11682,11697,11733,11734
11799,11805,11818,11835,11848,11990,11887,11747,11753,11766,11783,11799,11834,11835
11901,11910,11923,11941,11953,12093,11993,11848,11857,11870,11887,11901,11939,11941
12006,12013,12026,12044,12056,12196,12097,11953,11960,11974,11993,12006,12042,12044
12110,12120,12133,12150,12161,12299,12200,12056,12062,12075,12097,12110,12148,12150
12212,12219,12231,12250,12262,12403,12300,12161,12166,12180,12200,12212,12247,12250
12315,12321,12334,12352,12364,12507,12404,12262,12270,12283,12300,12315,12350,12352
12419,12426,12438,12459,12469,12608,12508,12364,12372,12386,12404,12419,12454,12459
12523,12529,12543,12561,12572,12712,12613,12469,12476,12490,12508,12523,12558,12561
12625,12632,12645,12662,12674,12817,12713,12572,12578,12591,12613,12625,12660,12662
12728,12737,12752,12770,12781,12918,12820,12674,12681,12695,12713,12728,12767,12770
12833,12840,12853,12870,12882,13020,12920,12781,12788,12800,12820,12833,12868,12870
12935,12940,12953,12971,12983,13120,13022,12882,12888,12901,12920,12935,12969,12971
13036,13043,13057,13074,13085,13221,13123,12983,12989,13003,13022,13036,13072,13074
13136,13143,13156,13172,13184,13321,13220,13085,13090,13104,13123,13136,13171,13172
13237,13245,13258,13276,13286,13425,13321,13184,13191,13205,13220,13237,13273,13276
13336,13343,13356,13373,13386,13531,13424,13286,13292,13306,13321,13336,13372,13373
13441,13450,13464,13479,13492,13637,13530,13386,13393,13408,13424,13441,13479,13479
13548,13556,13570,13588,13601,13750,13635,13492,13499,13513,13530,13548,13586,13588
