R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
11.71,11.71,17.12,10.81,8.11,29.73,10.81,78.38,21.62,0.57,1.11,40.54,59.46,10.53,11.4,14.91,13.16,11.4,28.07,10.53,76.31,23.69,0.57,1.14,36.84,63.16
7.41,12.04,16.67,12.04,8.33,29.63,13.89,74.08,25.93,0.52,1.08,36.12,63.89,8.49,12.26,18.87,11.32,7.55,29.25,12.26,76.42,23.58,0.54,1.06,39.62,60.38
6.54,12.15,18.69,11.21,7.48,29.91,14.02,74.77,25.23,0.52,1.07,37.38,62.62,8.33,12.96,16.67,13.89,6.48,30.56,11.11,75.0,25.0,0.56,1.08,37.96,62.04
8.57,12.38,17.14,11.43,5.71,31.43,13.33,75.23,24.76,0.52,1.05,38.09,61.9,7.48,12.15,17.76,14.02,8.41,28.97,11.21,74.77,25.23,0.55,1.07,37.39,62.61
6.8,11.65,18.45,11.65,7.77,32.04,11.65,76.71,23.3,0.5,1.03,36.9,63.11,5.83,13.59,18.45,13.59,6.8,30.1,11.65,74.77,25.24,0.53,1.03,37.87,62.14
8.65,12.5,15.38,10.58,4.81,33.65,14.42,74.99,25.0,0.49,1.04,36.53,63.46,7.84,12.75,19.61,11.76,8.82,28.43,10.78,77.45,22.54,0.53,1.02,40.2,59.79
9.52,14.29,17.14,11.43,4.76,29.52,13.33,75.23,24.76,0.55,1.05,40.95,59.04,4.55,11.82,20.0,13.64,9.09,30.0,10.91,75.46,24.55,0.55,1.1,36.37,63.64
6.6,12.26,16.04,12.26,7.55,32.08,13.21,74.53,25.47,0.5,1.06,34.9,65.1,5.0,13.0,18.0,14.0,7.0,30.0,13.0,73.0,27.0,0.5,1.0,36.0,64.0
7.69,12.5,17.31,11.54,7.69,28.85,14.42,74.04,25.96,0.51,1.04,37.5,62.5,7.48,13.08,18.69,13.08,7.48,28.97,11.21,75.7,24.29,0.56,1.07,39.25,60.74
6.06,13.13,16.16,12.12,6.06,32.32,14.14,73.73,26.26,0.47,0.99,35.35,64.64,8.0,13.0,17.0,15.0,6.0,29.0,12.0,73.0,27.0,0.53,1.0,38.0,62.0
8.26,12.84,15.6,11.93,8.26,26.61,16.51,71.57,28.44,0.53,1.09,36.7,63.31,5.71,13.33,17.14,13.33,8.57,29.52,12.38,74.27,25.71,0.52,1.05,36.18,63.8
8.49,12.26,16.98,11.32,6.6,31.13,13.21,75.46,24.53,0.52,1.06,37.73,62.26,8.33,12.96,13.89,16.67,8.33,28.7,11.11,72.21,27.78,0.56,1.08,35.18,64.81
7.92,13.86,16.83,10.89,5.94,31.68,12.87,76.23,23.76,0.5,1.01,38.61,61.38,6.73,12.5,19.23,13.46,7.69,29.81,10.58,75.96,24.04,0.54,1.04,38.46,61.54
4.72,13.21,16.04,11.32,9.43,30.19,15.09,73.59,26.41,0.48,1.06,33.97,66.03,6.06,15.15,17.17,13.13,5.05,31.31,12.12,74.74,25.25,0.51,0.99,38.38,61.61
7.41,12.96,15.74,12.96,6.48,30.56,13.89,73.15,26.85,0.53,1.08,36.11,63.89,9.01,13.51,15.32,14.41,7.21,27.93,12.61,72.98,27.02,0.58,1.11,37.84,62.16
8.74,12.62,16.5,11.65,5.83,33.01,11.65,76.7,23.3,0.51,1.03,37.86,62.14,6.6,13.21,17.92,14.15,8.49,28.3,11.32,74.52,25.47,0.55,1.06,37.73,62.26
7.0,13.0,16.0,11.0,7.0,32.0,14.0,75.0,25.0,0.47,1.0,36.0,64.0,6.06,13.13,21.21,12.12,7.07,29.29,11.11,76.76,23.23,0.52,0.99,40.4,59.59
