Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
21,30,37,57,67,100,103,67,74,84,103,116,149,152
116,126,133,152,164,200,204,164,175,184,204,216,247,249
216,224,231,249,261,297,300,261,272,282,300,312,342,345
312,319,326,345,357,390,393,357,366,375,393,404,435,439
404,412,419,439,449,484,488,449,458,468,488,499,531,534
499,506,515,534,545,581,584,545,556,565,584,597,628,632
597,604,612,632,643,680,684,643,655,664,684,696,729,731
696,705,713,731,743,776,780,743,752,760,780,792,823,824
792,800,807,824,838,875,881,838,850,858,881,892,931,934
892,907,915,934,946,983,986,946,958,967,986,999,1030,1033
999,1005,1014,1033,1045,1080,1084,1045,1055,1063,1084,1096,1129,1132
1096,1105,1113,1132,1143,1180,1183,1143,1155,1164,1183,1196,1227,1230
1196,1204,1211,1230,1242,1278,1281,1242,1253,1262,1281,1293,1324,1326
1293,1302,1308,1326,1339,1374,1378,1339,1349,1358,1378,1389,1420,1423
1389,1397,1404,1423,1435,1469,1473,1435,1445,1453,1473,1484,1516,1517
1484,1492,1499,1517,1531,1567,1572,1531,1544,1551,1572,1582,1615,1613
1582,1592,1598,1613,1631,1667,1670,1631,1642,1651,1670,1682,1717,1719
1682,1691,1700,1719,1732,1769,1772,1732,1744,1753,1772,1784,1817,1817
1784,1792,1800,1817,1832,1868,1871,1832,1843,1852,1871,1884,1918,1914
1884,1893,1900,1914,1935,1977,1982,1935,1949,1958,1982,1996,2038,2035
1996,2009,2020,2035,2055,2099,2100,2055,2071,2081,2100,2116,2150,2151
2116,2127,2133,2151,2166,2203,2205,2166,2176,2186,2205,2219,2253,2257
2219,2228,2236,2257,2269,2306,2309,2269,2280,2290,2309,2321,2355,2359
2321,2331,2338,2359,2370,2403,2407,2370,2378,2387,2407,2419,2450,2449
2419,2427,2433,2449,2465,2500,2504,2465,2475,2484,2504,2516,2548,2548
2516,2525,2531,2548,2563,2598,2602,2563,2573,2582,2602,2614,2645,2645
2614,2622,2628,2645,2660,2697,2702,2660,2670,2680,2702,2714,2747,2749
2714,2728,2731,2749,2762,2798,2802,2762,2773,2781,2802,2814,2847,2847
2814,2824,2830,2847,2863,2900,2903,2863,2874,2883,2903,2916,2951,2950
2916,2926,2934,2950,2967,3007,3012,2967,2980,2989,3012,3024,3062,3057
3024,3035,3043,3057,3079,3128,3132,3079,3098,3109,3132,3147,3184,3184
3147,3161,3169,3184,3198,3242,3246,3198,3215,3226,3246,3258,3288,3289
3258,3263,3271,3289,3303,3343,3348,3303,3316,3327,3348,3358,3388,3390
3358,3365,3371,3390,3404,3444,3447,3404,3419,3427,3447,3460,3492,3491
3460,3467,3474,3491,3509,3552,3555,3509,3526,3536,3555,3567,3596,3599
3567,3571,3577,3599,3613,3657,3660,3613,3632,3641,3660,3672,3699,3701
3672,3674,3681,3701,3715,3756,3758,3715,3731,3740,3758,3771,3799,3799
3771,3774,3781,3799,3815,3858,3863,3815,3832,3842,3863,3874,3901,3900
3874,3878,3884,3900,3917,3956,3961,3917,3932,3940,3961,3971,4000,3999
3971,3976,3983,3999,4015,4059,4063,4015,4034,4042,4063,4076,4106,4109
4076,4083,4089,4109,4122,4167,4168,4122,4140,4149,4168,4185,4217,4215
4185,4193,4199,4215,4234,4281,4285,4234,4256,4265,4285,4297,4326,4322
4297,4302,4308,4322,4343,4402,4406,4343,4376,4386,4406,4418,4454,4453
4418,4426,4437,4453,4469,4515,4519,4469,4490,4499,4519,4531,4555,4557
4531,4533,4539,4557,4569,4611,4629,4569,4585,4595,4629,4626,4649,4652
4626,4627,4633,4652,4664,4706,4709,4664,4681,4690,4709,4721,4746,4749
4721,4724,4730,4749,4760,4802,4807,4760,4777,4786,4807,4817,4840,4843
4817,4819,4824,4843,4855,4897,4900,4855,4871,4881,4900,4913,4936,4939
4913,4913,4920,4939,4951,4992,4994,4951,4967,4976,4994,5008,5032,5032
5008,5009,5016,5032,5046,5087,5090,5046,5062,5071,5090,5102,5127,5125
